winning_hero_id_1,winning_hero_id_2,winning_hero_id_3,winning_hero_id_4,winning_hero_id_5
6,51,60,86,94
4,30,47,52,71
28,31,32,54,98
5,8,9,23,102
23,54,79,88,103
10,68,78,86,106
5,9,21,58,74
54,62,65,86,102
3,40,43,63,98
47,49,68,83,98
6,7,11,26,39
3,28,65,70,76
39,42,57,69,112
2,30,45,50,102
21,26,38,52,75
10,65,69,87,88
22,25,71,79,80
7,29,42,74,111
5,13,86,95,97
38,43,54,69,111
20,22,46,103,106
46,62,66,73,74
2,20,22,67,83
38,48,66,77,79
48,49,62,66,92
9,21,26,38,55
5,55,93,104,107
2,8,31,72,85
9,47,53,63,73
13,40,51,56,62
19,51,68,74,86
8,16,30,60,99
29,30,41,52,88
2,9,14,26,44
3,38,46,48,62
16,53,72,88,92
6,39,85,86,92
1,29,49,85,101
10,27,47,51,69
3,28,72,73,89
8,29,48,79,84
1,7,9,25,99
9,69,73,74,86
9,31,40,88,98
15,46,51,83,89
5,51,54,60,92
8,9,20,26,95
29,30,39,95,110
3,28,48,49,57
40,63,83,93,96
8,37,38,54,87
13,29,30,68,93
22,31,55,64,67
48,50,53,69,87
16,47,65,83,93
7,25,61,64,109
15,48,68,88,96
20,30,34,41,98
16,48,76,79,84
14,20,38,47,106
27,54,65,68,98
14,27,62,72,75
8,35,71,86,96
16,29,34,77,101
26,39,46,52,85
46,67,68,78,84
23,29,47,63,68
8,13,27,30,99
8,37,55,79,93
20,41,47,55,84
12,22,30,67,71
2,15,30,46,84
27,65,66,74,80
1,26,39,71,86
7,11,15,68,74
17,42,51,100,112
8,28,74,87,100
17,51,52,60,79
26,67,74,75,103
30,35,36,71,91
22,65,77,88,97
7,10,13,55,90
16,48,63,74,92
50,69,73,82,88
26,35,42,87,99
2,14,17,54,75
46,55,63,88,92
63,65,73,79,83
1,37,44,51,97
33,63,86,88,98
3,5,22,67,88
7,40,47,64,106
8,11,20,51,85
20,28,51,98,111
53,58,73,74,103
1,14,31,51,106
20,28,34,55,66
6,20,29,39,92
9,11,29,41,79
30,35,42,50,69
54,55,60,73,87
15,42,47,83,86
8,16,69,86,106
5,8,53,76,84
9,27,29,45,48
1,15,57,64,65
16,40,41,75,86
28,36,54,90,99
11,42,68,71,92
9,16,68,76,96
20,53,65,80,110
7,21,55,72,79
20,34,86,95,97
5,8,89,98,112
7,36,37,86,114
7,21,22,39,70
7,31,41,76,100
16,23,43,54,75
2,19,65,68,91
5,13,48,64,99
35,65,84,104,111
3,56,65,89,103
10,27,30,35,65
5,10,51,63,92
16,27,33,43,114
27,53,97,99,101
10,46,51,85,90
7,40,60,64,75
26,48,50,55,73
4,34,79,83,96
